Nom;Type;Plateforme;Tag;IsTermine
The Legend of Zelda : Phantom Hourglass;Jeu vidéo;DS;;
Hyrule Warrios Legends;Jeu vidéo;3DS;;
Geometry Wars : Galaxies;Jeu vidéo;DS;;
Final Fantasy 3;Jeu vidéo;DS;;
Mario Slam Basketball;Jeu vidéo;DS;;
Assassin's Creed Mirage;Jeu vidéo;PS5;;
Blasphemous 2;Jeu vidéo;PS5;;
Prince of Persia : The Lost Crown;Jeu vidéo;PS5;;true
Ghost of Tsushima Director's Cut;Jeu vidéo;PS5;;true
Dead Cells Return to Castlevania;Jeu vidéo;PS5;;true
Nioh Collection;Jeu vidéo;PS5;;true
Returnal;Jeu vidéo;PS5;;true
Demon's Souls;Jeu vidéo;PS5;;true
Stranger of Paradise : Final Fantasy Origin;Jeu vidéo;PS5;;true
Hades;Jeu vidéo;PS5;;true
Wo Long : Fallen Dynasty;Jeu vidéo;PS5;;
Resident Evil 8 Village;Jeu vidéo;PS5;;
Devil May Cry 5 Special Edition;Jeu vidéo;PS5;;
Tales of Arise;Jeu vidéo;PS5;;
Resident Evil 4 Remake;Jeu vidéo;PS5;;
Ratchet & Clank : Rift Apart;Jeu vidéo;PS5;;
Octopath Traveler 2;Jeu vidéo;PS5;;
Final Fantasy VII Remake Intergrade;Jeu vidéo;PS5;;
Crisis Core - Final Fantasy VII - Reunion;Jeu vidéo;PS5;;
Lies of P;Jeu vidéo;PS5;;true
Hogwarts Legacy;Jeu vidéo;PS5;;
Final Fantasy Pixel Remaster;Jeu vidéo;Switch;;
Xenoblade Chronicles : Definitive Edition;Jeu vidéo;Switch;;
Xenoblade Chronicles 2;Jeu vidéo;Switch;;
Xenoblade Chronicles 3;Jeu vidéo;Switch;;
Metroid Dread;Jeu vidéo;Switch;;true
Metroid Prime Remastered;Jeu vidéo;Switch;;
Mario Tennis Aces;Jeu vidéo;Switch;;
Mario Golf : Super Rush;Jeu vidéo;Switch;;true
Super Mario 3D All-Stars;Jeu vidéo;Switch;;
Super Mario Odyssey;Jeu vidéo;Switch;;true
Super Mario 3D World + Bowser's Fury;Jeu vidéo;Switch;;true
Super Smash Bros Ultimate;Jeu vidéo;Switch;;
Mario Kart 8 Deluxe;Jeu vidéo;Switch;;
Super Mario Bros Wonder;Jeu vidéo;Switch;;true
Super Mario RPG;Jeu vidéo;Switch;;
Live a Live;Jeu vidéo;Switch;;true
Collection of Mana;Jeu vidéo;Switch;;
Cadence of Hyrule : Crypt of the NecroDancer feat. The Legend of Zelda;Jeu vidéo;Switch;;true
Hyrule Warriors : Definitive Edition;Jeu vidéo;Switch;;
Hyrule Warriors : L'Ère du fléau;Jeu vidéo;Switch;;true
The Legend of Zelda : Breath of the Wild;Jeu vidéo;Switch;;true
The Legend of Zelda : Tears of the Kingdom;Jeu vidéo;Switch;;true
Baten Kaitos 1 & 2 HD Remaster;Jeu vidéo;Switch;;
Bayonetta 3;Jeu vidéo;Switch;;
Pokémon Épée;Jeu vidéo;Switch;;
30 in 1 Game Collection Vol. 1;Jeu vidéo;Switch;;
Dante's Inferno;Jeu vidéo;PSP;;true
Bleach Soul Carnival;Jeu vidéo;PSP;;true
Castlevania : The Dracula X Chronicles;Jeu vidéo;PSP;;true
Sea of Stars;Jeu vidéo;PS5;;
Death Stranding Director's Cut;Jeu vidéo;PS5;;true
God of War Ragnarok;Jeu vidéo;PS5;;
Final Fantasy Pixel Remaster;Jeu vidéo;PS4;;
Dark Souls;Jeu vidéo;PS3;;
Dark Souls II;Jeu vidéo;PS3;;
Sonic X Shadow Generations;Jeu vidéo;PS5;;true
Red Dead Redemption;Jeu vidéo;PS4;;
Red Dead Redemption 2;Jeu vidéo;PS4;;
Final Fantasy 16;Jeu vidéo;PS5;;
Xenoblade Chronicles X Definitive Edition;Jeu vidéo;Switch;;
The Legend of Zelda : Echoes of Wisdom;Jeu vidéo;Switch;;
Paper Mario : La Porte Millénaire;Jeu vidéo;Switch;;
Kingdom Hearts Melody of Memory;Jeu vidéo;PS4;;
Sonic Frontiers;Jeu vidéo;PS5;;
Gotham Knights;Jeu vidéo;PS5;;
Okami HD;Jeu vidéo;PS4;;
Kingdom Hearts 1.5 + 2.5 ReMix;Jeu vidéo;PS4;;
Lord of the Fallen;Jeu vidéo;PS5;;
Suikoden I & II HD Remaster;Jeu vidéo;PS5;;
The Messenger;Jeu vidéo;PS5;;
Black Myth Wukong;Jeu vidéo;PS5;;
Castlevania Dominus Collection;Jeu vidéo;PS5;;
God of War III Remastered;Jeu vidéo;PS4;;
Clair Obscur : Expedition 33;Jeu vidéo;PS5;;
Nintendo World Championships : NES Edition;Jeu vidéo;Switch;;true
The Legend of Zelda : Link's Awakening;Jeu vidéo;Switch;;
The Legend of Zelda : Skyward Sword HD;Jeu vidéo;Switch;;true
007 Legends;Jeu vidéo;PS3;;true
The Last of Us 2 Remastered;Jeu vidéo;PS5;;
Wuchang : Fallen Feathers;Jeu vidéo;PS5;;
The First Berserker : Khazan;Jeu vidéo;PS5;;
Star Ocean The Second Story R;Jeu vidéo;PS5;;
Ender Lilies;Jeu vidéo;PS4;;true
Ender Magnolia;Jeu vidéo;PS4;;
Sayonara Wild Hearts;Jeu vidéo;PS4;;
Legacy of Kain Soul Reaver 1 & 2 Remastered;Jeu vidéo;PS5;;
Shinobi : Art of Vengeance;Jeu vidéo;PS5;;
Mario Kart World;Jeu vidéo;Switch 2;;
Star Wars Jedi : Survivor;Jeu vidéo;PS5;;true
